,Tweet,Extracted Date/Time,Date/Time,MRT_Line,Status,From_Stn,To_Stn,Duration,New_Fr_Stn,New_To_Stn
0,[BPLRT] Fault cleared. Normal train services across BPLRT gradually being restored.  Free regular bus services and bridging bus services available until 1700hrs.,12:54 AM - 18 Jan 2018,2018-01-18 00:54:00,BPLRT,cleared,,,42.0,ChoaChuKang,Phoenix
1,[BPLRT]: No train service between #ChoaChuKang and #Phoenix due to a train fault.  Free bridging bus services available across BPLRT.  Free regular bus services available at affected stations.,12:12 AM - 18 Jan 2018,2018-01-18 00:12:00,BPLRT,update,ChoaChuKang,Phoenix,0,None,None
2,[BPLRT] CLEARED: Free regular and bridging bus services have ended.,3:09 AM - 12 Jan 2018,2018-01-12 03:09:00,BPLRT,cleared,,,0.0,,
3,[BPLRT] UPDATE: Train services on the entire BPLRT have resumed. Free regular and bridging bus services are still available.,2:30 AM - 12 Jan 2018,2018-01-12 02:30:00,BPLRT,cleared,,,0.0,,
4,[BPLRT] UPDATE: Service B on the BPLRT inner loop between #BukitPanjang (BP6) and #Senja (BP13) has resumed. Free regular and bridging bus services are still available.pic.twitter.com/e7C9GSpGx8,2:04 AM - 12 Jan 2018,2018-01-12 02:04:00,BPLRT,cleared,,,0.0,,
5,[BPLRT] CLEARED: Free bus and bridging bus services have ended. We apologise for the inconvenience caused.,1:45 AM - 9 Sep 2017,2017-09-09 01:45:00,BPLRT,cleared,,,0.0,,
6,[BPLRT] CLEARED: Normal service on the BPLRT has resumed.,1:25 AM - 9 Sep 2017,2017-09-09 01:25:00,BPLRT,cleared,,,0.0,,
7,"[BPLRT]
CLEARED: Train services on the Service B are running normally now.",11:56 PM - 11 Aug 2017,2017-08-11 23:56:00,BPLRT,cleared,,,0.0,,
8,"[BPLRT]
CLEARED: Train services on the Service A are running normally now",2:15 AM - 27 Jul 2017,2017-07-27 02:15:00,BPLRT,cleared,,,10.0,Senja,Jelapang
9,"[BPLRT]
UPDATE: Train fault between #Senja and #Jelapang at Service A. 
Service B is still running.",2:05 AM - 27 Jul 2017,2017-07-27 02:05:00,BPLRT,update,Senja,Jelapang,0,None,None
10,[BPLRT] CLEARED: Normal service resumed. Free bus services still available till1425hrs.,11:03 PM - 19 Jul 2017,2017-07-19 23:03:00,BPLRT,cleared,,,0.0,,
11,[BPLRT] CLEARED: Train service between #ChoaChuKang and #BukitPanjang are now running normally.,10:58 PM - 19 Jul 2017,2017-07-19 22:58:00,BPLRT,cleared,,,13.0,ChoaChuKang,BukitPanjang
12,[BPLRT] No train service betwn #ChoaChuKang to #BukitPanjang due to a train fault. Free regular bus & bus bridging services are available.,10:45 PM - 19 Jul 2017,2017-07-19 22:45:00,BPLRT,update,ChoaChuKang,BukitPanjang,0,None,None
13,[BPLRT] Update: Train services have resumed. Bus bridging services have ceased.,7:02 AM - 28 Mar 2017,2017-03-28 07:02:00,BPLRT,cleared,,,0.0,,
14,[BPLRT] Update: Train services have resumed. Bus bridging services are still available.,6:28 AM - 28 Mar 2017,2017-03-28 06:28:00,BPLRT,cleared,,,0.0,,
15,[BPLRT CLEARED] Free Regular and Shuttle Bus Services have ceased.,12:12 AM - 10 Feb 2017,2017-02-10 00:12:00,BPLRT,cleared,,,0.0,,
16,[BPLRT Update] Normal Train Services have resumed. Free Regular and Shuttle Bus Services are still available along BPLRT,11:43 PM - 9 Feb 2017,2017-02-09 23:43:00,BPLRT,cleared,,,0.0,,
17,[BPLRT] UPDATE: Train services have resumed. Free regular bus services and bus bridging services have ceased.,4:37 AM - 26 Oct 2016,2016-10-26 04:37:00,BPLRT,cleared,,,0.0,,
18,[BPLRT] UPDATE: Train services have resumed. Free regular bus svcs and bus bridging services are still available at all BPLRT stations.,4:32 AM - 26 Oct 2016,2016-10-26 04:32:00,BPLRT,cleared,,,0.0,,
19,[BPLRT] UPDATE: Train services have resumed. Free regular bus svcs are still available at all BPLRT stations.,4:12 AM - 26 Oct 2016,2016-10-26 04:12:00,BPLRT,cleared,,,81.0,BukitPanjang,Phoenix
20,[BPLRT] Due to a train fault between #BukitPanjang & #Phoenix. BPLRT train svc will be delayed for 30 mins. We are working to recover svc.,2:51 AM - 26 Oct 2016,2016-10-26 02:51:00,BPLRT,update,BukitPanjang,Phoenix,0,None,None
21,"[BPLRT] Service A and Service B are now running. Stations opened their gates at 5am, the normal start time for BPLRT operations.",2:20 PM - 28 Sep 2016,2016-09-28 14:20:00,BPLRT,cleared,,,0.0,,
22,[BPLRT]Svcs on the inner loop (anticlockwise dir) from #BukitPanjang towards #Senja has resumed. Free bus & shuttle services are still availpic.twitter.com/HkcBJFOy4y,12:36 AM - 28 Sep 2016,2016-09-28 00:36:00,BPLRT,cleared,,,0.0,,
23,[BPLRT] Svcs on the inner loop (anticlockwise dir) from #BukitPanjang towards #Senja has resumed. Free bus and shuttle services are avail.pic.twitter.com/ajGaGv7Iim,10:53 PM - 27 Sep 2016,2016-09-27 22:53:00,BPLRT,cleared,,,177.0,ChoaChuKang,BukitPanjang
24,"[BPLRT] No train service btwn #ChoaChuKang and #BukitPanjang in
both directions. Free regular bus & bridging bus services are available.",8:25 PM - 27 Sep 2016,2016-09-27 20:25:00,BPLRT,update,ChoaChuKang,BukitPanjang,0,None,None
25,"[BPLRT] No train service between #ChoaChuKang and #BukitPanjang in
both directions. Free regular bus & bridging bus services are available.",7:56 PM - 27 Sep 2016,2016-09-27 19:56:00,BPLRT,update,ChoaChuKang,BukitPanjang,0,None,None
26,[BPLRT Update] Free regular bus & free bridging bus services have ceased. BPLRT Service is available.,6:52 PM - 27 Sep 2016,2016-09-27 18:52:00,BPLRT,cleared,,,0.0,,
27,[BPLRT] CLEARED: Free regular bus & free bridging bus services have ceased.,9:42 AM - 27 Sep 2016,2016-09-27 09:42:00,BPLRT,cleared,,,0.0,,
28,"[BPLRT] CLEARED: Train service between #ChoaChuKang and
#BukitPanjang are now running normally.",9:27 AM - 27 Sep 2016,2016-09-27 09:27:00,BPLRT,cleared,,,92.0,ChoaChuKang,BukitPanjang
29,"[BPLRT] No train service between #ChoaChuKang and #BukitPanjang in
both directions due to a power fault.",7:55 AM - 27 Sep 2016,2016-09-27 07:55:00,BPLRT,update,ChoaChuKang,BukitPanjang,0,None,None
30,[BPLRT] Free shuttle bus services have ceased.,7:16 AM - 25 Apr 2016,2016-04-25 07:16:00,BPLRT,cleared,,,0.0,,
31,[BPLRT] Train services have resumed on BPLRT. Expect crowds at stations. Free shuttle bus services are still available.,7:12 AM - 25 Apr 2016,2016-04-25 07:12:00,BPLRT,cleared,,,0.0,,
32,[BPLRT] Train services have resumed on the BPLRT. Free shuttle bus services are still available.,6:52 AM - 25 Apr 2016,2016-04-25 06:52:00,BPLRT,cleared,,,0.0,,
33,[CCL]CLEARED: Free regular bus services have ceased.,5:46 PM - 14 Nov 2017,2017-11-14 17:46:00,CCL,cleared,,,0.0,,
34,"[CCL] CLEARED: Fault cleared but trains and stations are crowded. Due to congestion, pls add 5mins travel time towards #HarbourFront. Free regular bus service still available.",4:34 PM - 14 Nov 2017,2017-11-14 16:34:00,CCL,cleared,,,126.00000000000001,BotanicGardens,HawParVilla
35,"[CCL] UPDATE: Free regular bus services are available between #PayaLebar and
  #HarbourFront.",3:41 PM - 14 Nov 2017,2017-11-14 15:41:00,CCL,update,PayaLebar,HarbourFront,0,None,None
36,"[CCL]UPDATE: Free regular bus services are available between #PayaLebar and
  #HarbourFront.",3:22 PM - 14 Nov 2017,2017-11-14 15:22:00,CCL,update,PayaLebar,HarbourFront,0,None,None
37,"[CCL]UPDATE: Free regular bus services are available between #BotanicGardens and
  #KentRidge.",3:09 PM - 14 Nov 2017,2017-11-14 15:09:00,CCL,update,BotanicGardens,KentRidge,0,None,None
38,"[CCL] UPDATE: Free regular bus services are available between #FarrerRoad and
  #KentRidge.",2:59 PM - 14 Nov 2017,2017-11-14 14:59:00,CCL,update,FarrerRoad,KentRidge,0,None,None
39,[CCL]: Due to a Signal fault between #Farrer Road and # Buona Vista .Pls add 20mins train travel time between #Buona Vista and HarbourFornt on both bounds.,2:40 PM - 14 Nov 2017,2017-11-14 14:40:00,CCL,update,Farrer,Buona,0,None,None
40,[CCL]: Due to a signal  fault trains are moving slower between #BotanicGardens and #HawParVilla.  We are investigating the fault.,2:28 PM - 14 Nov 2017,2017-11-14 14:28:00,CCL,update,BotanicGardens,HawParVilla,0,None,None
